PART_ID,Study time,Block_number,Trial_number,Correct_key,Key_pressed,Reaction_time,Stim_name,Context,Target,Target_type,Accuracy
1,2025-03-28_14:08:12.935115,1,1,a,a,0.8732455419376493,image3.png,pokoj,fotel,item,1
1,2025-03-28_14:08:12.935115,1,2,l,l,0.8022521669045091,image1.png,plaza,kuna,animal,1
1,2025-03-28_14:08:12.935115,1,3,a,No response,-1,image2.png,plaza,wiaderko,item,-1
1,2025-03-28_14:08:12.935115,2,1,a,a,0.603896708926186,image2.png,plaza,wiaderko,item,1
1,2025-03-28_14:08:12.935115,2,2,l,l,0.5343557081650943,image1.png,plaza,kuna,animal,1
1,2025-03-28_14:08:12.935115,2,3,a,No response,-1,image3.png,pokoj,fotel,item,-1
